Jogador;Temporada;Equipe;Liga;Posição;Jogos;Jogos como Titular;Minutos;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;TRP-DOU
Tari Eason;23;HOU;NBA;PF;53;15;25.2;4.8;9.8;0.49;1.1;3.2;0.35;3.7;6.6;0.57;0.55;1.5;1.9;0.77;2.3;4.2;6.5;1.4;1.8;0.9;1.2;2.5;12.3;
David Roddy;23;PHI;NBA;PF;3;0;9.7;2.7;6.3;0.42;0.7;3.7;0.18;2.0;2.7;0.75;0.47;0.0;0.0;;0.7;2.3;3.0;1.0;0.7;0.0;0.3;0.3;6.0;
Amen Thompson;22;HOU;NBA;SF;66;39;32.3;5.6;10.1;0.56;0.3;1.3;0.27;5.2;8.8;0.60;0.57;2.5;3.7;0.68;2.8;5.4;8.2;3.7;1.4;1.3;2.0;2.4;14.0;
Cam Whitmore;20;HOU;NBA;SF;46;1;16.0;3.4;8.0;0.43;1.2;3.6;0.33;2.2;4.4;0.51;0.50;1.1;1.5;0.75;0.7;2.3;3.0;1.0;0.6;0.3;0.8;0.9;9.1;
Reed Sheppard;20;HOU;NBA;PG;47;1;11.9;1.5;4.4;0.35;0.8;2.6;0.31;0.7;1.8;0.40;0.44;0.3;0.3;0.81;0.3;1.1;1.4;1.3;0.6;0.3;0.6;0.9;4.1;
Alex Caruso;30;OKC;NBA;SG;50;2;19.2;2.5;5.7;0.45;1.1;3.2;0.35;1.4;2.5;0.56;0.55;0.7;0.9;0.81;0.7;2.2;2.9;2.6;1.6;0.6;0.7;1.8;6.9;
Isaiah Hartenstein;26;OKC;NBA;C;54;50;27.9;4.9;8.5;0.57;0.0;0.4;0.00;4.9;8.2;0.60;0.57;1.5;2.1;0.68;2.8;8.0;10.8;3.9;0.8;1.1;1.7;3.0;11.2;
Shai Gilgeous-Alexander;26;OKC;NBA;PG;73;73;34.2;11.3;21.7;0.52;2.1;5.7;0.37;9.2;16.0;0.57;0.57;8.1;9.0;0.90;0.9;4.1;5.0;6.3;1.7;1.0;2.4;2.1;32.8;
Kenrich Williams;27;LAC;NBA;SG;9;0;12.7;1.6;3.6;0.44;0.0;0.0;;1.6;3.6;0.44;0.44;0.7;0.9;0.75;1.0;1.2;2.2;1.9;0.6;0.3;1.1;1.9;3.8;
Luguentz Dort;25;OKC;NBA;SF;68;68;29.3;3.6;8.4;0.44;2.4;5.8;0.41;1.3;2.6;0.49;0.58;0.5;0.6;0.75;1.3;2.9;4.2;1.6;1.1;0.6;0.7;2.9;10.2;
Isaiah Joe;25;OKC;NBA;SG;69;13;21.3;3.4;7.9;0.44;2.6;6.2;0.41;0.9;1.7;0.54;0.60;0.6;0.7;0.80;0.5;2.1;2.6;1.5;0.6;0.1;0.5;1.5;10.0;
Aaron Wiggins;26;OKC;NBA;SG;70;23;22.7;4.6;9.3;0.49;1.7;4.4;0.39;2.9;4.9;0.58;0.58;0.8;1.0;0.83;1.1;2.7;3.8;1.7;0.8;0.3;0.8;1.3;11.7;
Chet Holmgren;22;OKC;NBA;C;28;28;27.4;5.3;10.8;0.49;1.2;3.6;0.34;4.0;7.2;0.56;0.55;3.0;4.1;0.73;1.6;6.8;8.4;2.0;0.8;2.4;1.9;2.1;14.8;
Ousmane Dieng;21;OKC;NBA;C;37;1;10.9;1.5;3.4;0.43;0.6;1.9;0.32;0.8;1.5;0.57;0.52;0.3;0.4;0.69;0.5;1.7;2.2;0.8;0.5;0.2;0.5;0.9;3.8;
Jalen Williams;30;NJN;NBA;C;30;30;34.0;3.2;7.3;0.45;0.0;0.1;0.00;3.2;7.2;0.45;0.45;1.6;2.8;0.56;4.9;7.1;12.0;1.1;0.8;2.0;1.5;4.2;8.1;
Jaylin Williams;30;NJN;NBA;C;30;30;34.0;3.2;7.3;0.45;0.0;0.1;0.00;3.2;7.2;0.45;0.45;1.6;2.8;0.56;4.9;7.1;12.0;1.1;0.8;2.0;1.5;4.2;8.1;
Cason Wallace;21;OKC;NBA;SG;65;43;27.6;3.4;7.2;0.47;1.1;3.1;0.36;2.3;4.1;0.56;0.55;0.5;0.6;0.83;1.1;2.4;3.4;2.6;1.8;0.5;0.9;2.2;8.4;
Dillon Jones;23;OKC;NBA;SF;48;1;9.4;0.9;2.4;0.36;0.3;1.2;0.22;0.6;1.2;0.49;0.41;0.3;0.5;0.58;0.5;1.5;2.0;1.1;0.3;0.1;0.4;0.9;2.3;
Ajay Mitchell;22;OKC;NBA;SG;34;1;16.5;2.5;4.9;0.51;0.6;1.5;0.43;1.8;3.4;0.54;0.57;0.8;1.0;0.85;0.5;1.5;2.0;1.7;0.7;0.1;0.8;1.7;6.4;
Branden Carlson;25;OKC;NBA;C;27;0;6.6;1.0;2.4;0.43;0.7;1.9;0.38;0.3;0.6;0.60;0.58;0.3;0.5;0.69;0.4;1.1;1.5;0.4;0.2;0.6;0.1;0.7;3.1;
Chris Paul;39;SAS;NBA;PG;76;76;28.0;3.0;7.0;0.43;1.8;4.6;0.38;1.3;2.5;0.51;0.55;1.0;1.1;0.94;0.4;3.2;3.6;7.6;1.3;0.3;1.6;1.8;8.8;
Bismack Biyombo;32;SAS;NBA;C;22;20;18.8;2.4;3.7;0.64;0.0;0.0;;2.4;3.7;0.64;0.64;0.5;1.1;0.42;1.4;3.9;5.3;1.2;0.6;0.9;0.8;1.9;5.2;
De'Aaron Fox;27;SAS;NBA;PG;17;17;34.0;7.4;16.5;0.45;1.5;5.6;0.27;5.8;10.9;0.54;0.49;3.5;4.2;0.82;0.5;3.8;4.3;6.8;1.5;0.3;2.4;2.7;19.7;
Jordan McLaughlin;28;SAS;NBA;PG;13;0;6.2;0.8;1.2;0.67;0.5;0.8;0.64;0.2;0.3;0.75;0.90;0.4;0.4;1.00;0.0;0.3;0.3;1.4;0.2;0.0;0.2;0.2;2.5;
Devin Vassell;24;SAS;NBA;SG;60;49;31.1;6.2;13.9;0.44;2.4;6.6;0.36;3.8;7.3;0.51;0.53;1.6;1.9;0.80;0.5;3.5;4.0;2.9;1.2;0.6;1.3;1.7;16.3;
Charles Bassey;24;SAS;NBA;C;35;1;10.6;1.9;3.3;0.59;0.0;0.0;;1.9;3.3;0.59;0.59;0.6;0.9;0.64;1.6;2.7;4.3;0.5;0.4;0.9;0.7;1.4;4.5;
Sandro Mamukelashvili;25;SAS;NBA;PF;55;0;10.3;2.2;4.3;0.51;1.0;2.5;0.40;1.2;1.8;0.65;0.63;0.7;0.9;0.71;1.0;1.9;2.9;0.7;0.4;0.3;0.4;0.9;6.0;
David Duke;25;SAS;NBA;SG;4;0;4.5;0.5;1.8;0.29;0.0;0.3;0.00;0.5;1.5;0.33;0.29;0.3;0.5;0.50;0.0;0.8;0.8;0.8;0.0;0.0;0.3;0.3;1.3;
Malaki Branham;21;SAS;NBA;SG;43;0;8.4;1.5;3.5;0.44;0.6;1.7;0.38;0.9;1.8;0.49;0.53;0.6;0.7;0.83;0.1;0.9;1.0;0.8;0.2;0.0;0.7;0.5;4.3;
Jeremy Sochan;21;SAS;NBA;PF;54;23;25.3;4.6;8.7;0.54;0.5;1.7;0.31;4.1;7.0;0.59;0.56;1.6;2.3;0.70;2.4;4.2;6.5;2.4;0.8;0.5;1.6;2.4;11.4;
Blake Wesley;21;SAS;NBA;SG;52;0;10.9;1.3;2.9;0.46;0.3;1.0;0.34;1.0;2.0;0.52;0.51;0.6;1.0;0.62;0.3;0.7;1.0;1.8;0.6;0.1;0.9;0.7;3.6;
Julian Champagnie;23;WAS;NBA;SF;57;26;20.2;3.0;6.0;0.50;1.0;2.8;0.36;2.0;3.2;0.61;0.58;0.8;1.1;0.69;1.6;3.6;5.2;1.0;1.0;0.6;0.8;1.7;7.8;
Victor Wembanyama;21;SAS;NBA;C;46;46;33.2;8.9;18.6;0.48;3.1;8.8;0.35;5.8;9.9;0.59;0.56;3.4;4.1;0.84;1.8;9.2;11.0;3.7;1.1;3.8;3.2;2.3;24.3;
