Jogador;Temporada;Equipe;Liga;Posição;Jogos;Jogos como Titular;Minutos;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;TRP-DOU
Taj Gibson;39;CHO;NBA;C;31;11;11.0;1.3;2.5;0.50;0.0;0.1;0.50;1.2;2.5;0.50;0.51;0.4;0.5;0.69;1.4;1.9;3.3;0.5;0.3;0.5;0.7;1.5;2.9;
Jusuf Nurkić;30;CHO;NBA;C;21;6;17.0;2.9;6.0;0.48;0.4;1.6;0.27;2.4;4.4;0.55;0.52;1.4;2.2;0.62;1.4;5.0;6.4;2.5;0.6;0.7;1.3;1.8;7.5;
Seth Curry;34;CHO;NBA;SG;64;12;15.4;2.3;5.0;0.47;1.2;2.6;0.45;1.1;2.3;0.49;0.58;0.4;0.5;0.85;0.4;1.3;1.6;0.9;0.4;0.1;0.5;0.9;6.2;
Miles Bridges;28;NYK;NBA;SF;76;76;37.6;7.3;14.7;0.50;2.1;5.8;0.35;5.3;8.9;0.59;0.57;1.1;1.4;0.80;0.9;2.3;3.2;3.7;0.9;0.5;1.6;1.5;17.8;
Josh Okogie;26;CHO;NBA;SG;10;2;18.8;2.6;6.5;0.40;1.0;2.8;0.36;1.6;3.7;0.43;0.48;2.2;2.7;0.81;0.9;1.9;2.8;1.2;2.3;0.5;1.0;1.4;8.4;
Grant Williams;26;CHO;NBA;PF;16;7;29.9;3.4;7.7;0.44;1.7;4.6;0.36;1.7;3.1;0.55;0.55;1.9;2.3;0.84;1.1;4.0;5.1;2.3;1.1;0.8;1.8;2.9;10.4;
DaQuan Jeffries;27;CHO;NBA;SG;41;15;22.0;2.5;6.1;0.41;1.2;3.4;0.35;1.3;2.7;0.48;0.51;0.5;0.6;0.83;0.8;2.0;2.8;1.1;0.6;0.6;0.8;2.2;6.7;
LaMelo Ball;23;CHO;NBA;PG;47;47;32.0;8.6;21.3;0.41;3.8;11.2;0.34;4.8;10.1;0.48;0.49;4.1;4.9;0.84;1.0;3.9;4.9;7.4;1.1;0.3;3.6;3.3;25.2;
Tre Mann;23;CHO;NBA;PG;13;0;24.5;5.4;12.4;0.43;1.8;4.6;0.40;3.5;7.8;0.46;0.51;1.5;1.6;0.91;0.9;2.0;2.9;3.0;0.5;0.3;1.9;1.8;14.1;
Mark Williams;33;CLE;NBA;PG;41;14;18.2;3.2;7.4;0.44;0.9;2.5;0.35;2.3;4.9;0.48;0.50;0.9;1.0;0.91;0.1;1.6;1.8;2.4;0.3;0.1;1.4;1.5;8.2;
Wendell Moore;23;CHO;NBA;SG;13;0;17.6;2.2;4.8;0.47;0.5;1.5;0.37;1.7;3.3;0.51;0.52;0.4;0.6;0.62;1.3;2.2;3.5;1.1;0.6;0.2;1.0;1.2;5.4;
Moussa Diabaté;23;CHO;NBA;C;67;8;17.2;2.2;3.7;0.60;0.0;0.1;0.00;2.2;3.7;0.61;0.60;0.9;1.6;0.59;2.7;3.4;6.1;0.8;0.6;0.6;0.8;1.5;5.4;
Brandon Miller;35;MIN;NBA;C;15;1;9.7;0.6;1.8;0.33;0.5;1.0;0.47;0.1;0.8;0.17;0.46;0.7;0.8;0.83;0.3;1.0;1.3;1.6;0.3;0.1;0.8;0.7;2.3;
Nick Smith;20;CHO;NBA;SG;56;25;22.8;3.7;9.5;0.39;1.7;5.0;0.33;2.0;4.4;0.45;0.47;0.6;0.7;0.92;0.2;1.8;2.0;2.2;0.3;0.1;1.4;1.3;9.6;
Damion Baugh;24;CHO;NBA;SG;12;2;25.3;3.0;9.1;0.33;0.8;3.8;0.22;2.2;5.3;0.41;0.38;0.9;1.1;0.85;0.8;2.2;3.0;3.8;1.2;0.1;1.9;1.7;7.8;
Tidjane Salaün;19;CHO;NBA;PF;54;8;19.8;1.8;5.4;0.34;0.9;3.2;0.29;0.9;2.2;0.40;0.42;1.0;1.4;0.73;1.2;3.3;4.5;1.1;0.5;0.3;0.9;1.3;5.6;
KJ Simpson;22;CHO;NBA;PG;30;9;22.1;2.7;7.9;0.34;0.9;3.5;0.25;1.8;4.4;0.41;0.39;1.3;1.6;0.83;1.1;1.8;3.0;2.9;0.8;0.2;1.5;1.6;7.5;
Jonas Valančiūnas;32;SAC;NBA;C;26;9;17.8;3.6;6.7;0.54;0.0;0.3;0.12;3.6;6.4;0.56;0.54;1.5;1.8;0.83;2.3;4.9;7.2;1.8;0.5;0.7;1.0;2.7;8.8;
DeMar DeRozan;35;SAC;NBA;SF;71;71;36.0;8.1;16.8;0.48;1.1;3.3;0.34;7.0;13.6;0.52;0.52;4.9;5.7;0.86;0.6;3.3;3.9;4.4;0.9;0.4;1.4;1.9;22.2;
Doug McDermott;33;SAC;NBA;SF;38;3;8.0;1.2;2.7;0.43;1.0;2.3;0.43;0.2;0.4;0.43;0.62;0.1;0.1;0.60;0.1;0.4;0.5;0.1;0.1;0.1;0.2;0.7;3.4;
Jae Crowder;34;SAC;NBA;PF;8;2;12.3;0.8;2.4;0.32;0.4;1.8;0.21;0.4;0.6;0.60;0.40;0.6;0.8;0.83;0.8;1.5;2.3;0.6;0.4;0.0;0.5;1.3;2.5;
Zach LaVine;29;SAC;NBA;SG;26;26;36.2;7.6;15.0;0.50;2.8;6.8;0.41;4.8;8.3;0.58;0.60;3.0;3.4;0.88;0.3;3.3;3.6;3.7;0.7;0.1;3.0;1.6;20.9;
Trey Lyles;29;SAC;NBA;PF;63;2;18.4;2.1;5.3;0.41;1.1;3.4;0.33;1.0;1.9;0.53;0.51;0.8;1.1;0.72;1.1;3.3;4.5;1.2;0.6;0.3;0.6;1.2;6.2;
Domantas Sabonis;28;SAC;NBA;C;64;64;34.8;7.5;12.8;0.59;0.9;2.3;0.40;6.5;10.5;0.62;0.62;3.1;4.2;0.74;3.8;10.2;14.0;6.0;0.7;0.4;2.9;3.3;19.0;
Markelle Fultz;26;SAC;NBA;PG;19;0;8.5;1.3;3.2;0.41;0.2;0.4;0.50;1.1;2.8;0.40;0.44;0.1;0.1;1.00;0.3;0.6;0.9;1.1;0.5;0.1;0.7;0.6;2.9;
Malik Monk;26;SAC;NBA;SG;62;45;32.3;6.5;14.8;0.44;2.2;6.7;0.33;4.3;8.0;0.54;0.51;2.4;2.8;0.86;0.5;3.3;3.8;5.7;1.0;0.6;2.5;2.5;17.6;
Mason Jones;31;DET;NBA;PF;47;0;8.9;1.0;1.9;0.55;0.0;0.0;;1.0;1.9;0.55;0.55;0.7;1.1;0.65;1.0;1.7;2.7;0.3;0.2;0.3;0.7;1.2;2.7;
Keon Ellis;25;SAC;NBA;SG;74;22;23.7;2.8;5.8;0.48;1.7;4.0;0.43;1.1;1.9;0.60;0.63;1.0;1.1;0.84;0.7;1.9;2.6;1.5;1.5;0.7;0.9;2.2;8.3;
Jake LaRavia;23;SAC;NBA;PF;19;0;19.3;2.2;5.1;0.44;1.1;2.7;0.39;1.2;2.3;0.50;0.54;0.6;1.0;0.58;1.2;1.6;2.8;1.3;0.9;0.2;0.9;2.1;6.1;
Isaiah Crawford;23;SAC;NBA;SF;15;0;3.1;0.3;0.7;0.46;0.1;0.3;0.20;0.3;0.4;0.67;0.50;0.1;0.3;0.50;0.1;0.5;0.5;0.1;0.1;0.1;0.1;0.1;0.9;
Isaac Jones;24;SAC;NBA;PF;35;0;7.8;1.5;2.1;0.68;0.1;0.2;0.33;1.4;2.0;0.71;0.69;0.7;1.0;0.64;0.5;0.9;1.4;0.3;0.1;0.3;0.4;0.8;3.6;
James Johnson;37;IND;NBA;PF;12;0;3.1;0.3;0.9;0.36;0.0;0.3;0.00;0.3;0.7;0.50;0.36;0.0;0.1;0.00;0.0;0.5;0.5;0.3;0.0;0.2;0.3;0.4;0.7;
Myles Turner;28;IND;NBA;C;67;67;30.4;5.4;11.2;0.48;2.2;5.4;0.40;3.2;5.8;0.56;0.58;2.4;3.1;0.78;1.2;5.4;6.6;1.6;0.8;1.9;1.7;2.6;15.4;
Pascal Siakam;30;IND;NBA;PF;75;75;32.7;7.9;15.2;0.52;1.6;4.2;0.39;6.2;10.9;0.57;0.57;3.0;4.0;0.74;1.7;5.2;6.9;3.4;0.9;0.5;1.4;2.5;20.3;
Thomas Bryant;27;IND;NBA;C;50;7;15.5;2.8;5.4;0.52;0.8;2.3;0.34;2.0;3.1;0.67;0.60;0.8;1.0;0.81;1.5;2.6;4.1;1.0;0.5;0.5;0.5;1.2;7.2;
Tony Bradley;27;IND;NBA;C;10;0;5.7;1.7;2.1;0.81;0.1;0.3;0.33;1.6;1.8;0.89;0.83;0.0;0.2;0.00;0.7;1.2;1.9;0.3;0.1;0.4;0.4;0.6;3.5;
Obi Toppin;26;IND;NBA;PF;73;1;19.5;4.0;7.5;0.54;1.4;3.8;0.37;2.6;3.7;0.71;0.63;1.1;1.4;0.80;0.7;3.3;4.0;1.6;0.6;0.3;0.8;1.4;10.6;
Tyrese Haliburton;24;IND;NBA;PG;69;69;33.6;6.6;13.9;0.47;3.0;7.7;0.39;3.6;6.2;0.57;0.58;2.5;2.9;0.87;0.6;2.9;3.5;9.2;1.5;0.6;1.7;1.3;18.7;
Aaron Nesmith;25;IND;NBA;SF;40;32;25.0;4.2;8.4;0.50;1.9;4.4;0.42;2.4;4.0;0.60;0.61;1.5;1.7;0.92;0.8;3.1;3.8;1.3;0.8;0.4;0.9;2.6;11.8;
Isaiah Jackson;23;IND;NBA;C;5;1;16.8;2.8;4.6;0.61;0.0;0.0;;2.8;4.6;0.61;0.61;1.4;2.8;0.50;2.2;3.4;5.6;1.0;0.6;1.6;1.0;2.8;7.0;
Bennedict Mathurin;22;IND;NBA;SF;67;48;30.1;5.5;11.9;0.47;1.4;4.0;0.35;4.1;7.9;0.53;0.53;3.7;4.4;0.84;1.2;4.2;5.4;1.9;0.6;0.4;1.9;2.3;16.1;
Andrew Nembhard;25;IND;NBA;SG;60;60;29.1;3.9;8.3;0.47;0.8;2.7;0.31;3.0;5.6;0.54;0.52;1.7;2.2;0.79;0.5;2.8;3.3;5.0;1.2;0.2;1.8;2.3;10.2;
Quenton Jackson;26;IND;NBA;PG;26;7;12.4;1.8;3.8;0.48;0.5;1.2;0.39;1.4;2.6;0.53;0.55;0.8;1.0;0.74;0.5;0.9;1.4;1.8;0.7;0.2;0.5;1.5;4.9;
Jarace Walker;22;POR;NBA;SF;55;1;11.5;1.7;3.4;0.50;0.4;1.1;0.39;1.3;2.3;0.56;0.57;0.7;1.1;0.69;0.9;2.4;3.4;0.6;0.5;0.1;0.5;1.4;4.6;
Ben Sheppard;23;IND;NBA;SG;62;9;19.5;1.9;4.6;0.42;1.1;3.2;0.34;0.8;1.4;0.59;0.54;0.4;0.4;0.89;0.7;2.1;2.8;1.3;0.6;0.2;0.4;2.0;5.3;
Johnny Furphy;20;IND;NBA;SG;45;0;6.4;0.5;1.4;0.38;0.3;0.8;0.32;0.3;0.6;0.44;0.47;0.2;0.2;1.00;0.4;0.8;1.2;0.2;0.3;0.2;0.2;0.7;1.5;
Enrique Freeman;24;IND;NBA;PF;20;1;7.0;0.6;1.3;0.48;0.1;0.3;0.17;0.6;1.0;0.58;0.50;0.5;0.8;0.60;0.3;0.7;1.0;0.4;0.1;0.1;0.3;0.9;1.7;
RayJ Dennis;23;IND;NBA;PG;8;0;2.9;0.3;1.3;0.20;0.1;0.9;0.14;0.1;0.4;0.33;0.25;0.3;0.3;1.00;0.3;0.5;0.8;0.6;0.4;0.0;0.5;0.4;0.9;
Jordan Clarkson;32;UTA;NBA;SG;37;9;26.0;5.4;13.3;0.41;2.3;6.3;0.36;3.2;7.1;0.45;0.49;3.1;3.9;0.80;0.7;2.5;3.2;3.7;0.8;0.2;2.3;1.4;16.2;
Lauri Markkanen;27;UTA;NBA;PF;47;47;31.4;6.3;14.9;0.42;2.9;8.5;0.35;3.4;6.4;0.53;0.52;3.4;3.9;0.88;1.5;4.4;5.9;1.5;0.7;0.4;1.4;1.7;19.0;
John Collins;27;UTA;NBA;PF;40;31;30.5;7.0;13.3;0.53;1.5;3.7;0.40;5.5;9.6;0.58;0.58;3.5;4.1;0.85;2.2;6.0;8.2;2.0;1.0;1.0;2.6;2.9;19.0;
Collin Sexton;26;UTA;NBA;SG;60;58;27.8;6.6;13.7;0.48;1.8;4.3;0.41;4.8;9.4;0.51;0.54;3.3;3.9;0.86;1.0;1.8;2.7;4.2;0.7;0.1;2.6;2.3;18.2;
Svi Mykhailiuk;27;UTA;NBA;SF;33;13;19.2;2.9;7.9;0.37;1.8;5.4;0.33;1.2;2.5;0.46;0.48;0.7;0.8;0.82;0.5;1.7;2.2;1.8;0.5;0.2;1.4;1.2;8.3;
Kenyon Martin;37;MIL;NBA;PF;11;0;9.5;0.8;2.0;0.41;0.0;0.0;;0.8;2.0;0.41;0.41;0.2;0.2;1.00;0.5;1.2;1.7;0.5;0.5;0.5;0.3;1.2;1.8;
Jaden Springer;22;UTA;NBA;PG;12;0;10.1;1.2;2.5;0.47;0.3;1.3;0.27;0.8;1.3;0.67;0.53;0.8;1.2;0.64;0.5;0.9;1.4;1.3;0.6;0.3;0.6;1.1;3.4;
Micah Potter;26;UTA;NBA;C;33;10;17.7;1.4;3.4;0.42;0.9;2.5;0.35;0.5;0.9;0.62;0.55;0.5;0.5;0.89;1.1;3.0;4.2;0.8;0.3;0.3;0.8;1.3;4.2;
Walker Kessler;23;UTA;NBA;C;58;58;30.0;4.8;7.2;0.66;0.1;0.6;0.18;4.7;6.6;0.71;0.67;1.4;2.6;0.52;4.6;7.6;12.2;1.7;0.6;2.4;1.5;2.2;11.1;
Johnny Juzang;23;UTA;NBA;SG;59;13;18.7;3.0;7.0;0.43;1.7;4.6;0.36;1.3;2.4;0.56;0.55;0.7;0.8;0.84;0.7;2.2;2.8;1.0;0.5;0.1;0.5;1.9;8.4;
Taylor Hendricks;21;UTA;NBA;PF;3;3;25.0;1.3;6.0;0.22;1.0;4.0;0.25;0.3;2.0;0.17;0.31;1.0;1.3;0.75;1.7;3.3;5.0;0.7;1.7;1.3;0.7;2.7;4.7;
Keyonte George;21;UTA;NBA;PG;62;32;31.1;5.3;13.5;0.39;2.6;7.5;0.34;2.7;6.0;0.45;0.49;3.5;4.3;0.81;0.4;3.3;3.7;5.6;0.7;0.1;2.7;1.6;16.6;
Brice Sensabaugh;21;UTA;NBA;SF;66;10;19.3;3.7;8.0;0.46;2.0;4.8;0.42;1.7;3.2;0.53;0.59;0.8;0.9;0.89;0.5;2.2;2.7;1.4;0.6;0.1;1.5;1.5;10.3;
Cody Williams;23;MIN;NBA;PG;4;0;11.5;1.3;3.3;0.39;0.0;0.3;0.00;1.3;3.0;0.42;0.39;0.3;0.3;1.00;0.3;1.3;1.5;1.5;0.5;0.0;0.5;1.5;2.8;
Kyle Filipowski;21;UTA;NBA;C;67;22;20.6;3.4;6.7;0.51;1.1;2.9;0.37;2.3;3.8;0.61;0.59;1.3;2.0;0.64;1.4;4.4;5.8;1.9;0.6;0.2;1.4;2.3;9.1;
Isaiah Collier;20;UTA;NBA;PG;69;44;25.7;3.2;7.6;0.42;0.6;2.3;0.26;2.6;5.3;0.50;0.46;1.4;2.1;0.67;0.4;2.9;3.3;6.2;0.9;0.2;2.9;2.1;8.4;
Jrue Holiday;34;BOS;NBA;PG;58;58;30.6;4.2;9.3;0.45;1.8;5.1;0.35;2.4;4.3;0.56;0.54;1.1;1.2;0.91;1.2;3.1;4.3;3.9;1.1;0.4;1.3;1.7;11.2;
Al Horford;38;BOS;NBA;C;57;40;27.7;3.2;7.6;0.42;1.9;5.2;0.36;1.3;2.4;0.56;0.55;0.6;0.7;0.90;1.3;4.7;6.1;2.1;0.6;0.9;0.8;1.4;8.9;
Kristaps Porzingis;29;BOS;NBA;C;39;39;29.0;6.6;13.6;0.49;2.3;5.8;0.40;4.3;7.9;0.55;0.57;3.8;4.7;0.81;1.7;5.2;6.9;2.1;0.8;1.6;1.3;2.8;19.4;
Jaylen Brown;22;LAL;NBA;SG;19;5;29.9;3.7;8.9;0.41;1.2;3.3;0.37;2.5;5.7;0.43;0.48;3.4;4.5;0.75;0.2;1.7;1.9;2.1;0.6;0.1;1.7;1.7;11.9;
Jayson Tatum;26;BOS;NBA;PF;69;69;36.4;9.2;20.4;0.45;3.5;10.1;0.35;5.7;10.3;0.56;0.54;5.0;6.2;0.81;0.7;8.0;8.7;5.9;1.1;0.5;3.0;2.2;27.0;
Derrick White;30;BOS;NBA;SG;72;72;33.9;5.6;12.7;0.44;3.5;9.1;0.38;2.1;3.6;0.59;0.57;1.9;2.2;0.84;0.8;3.6;4.4;4.6;1.0;1.1;1.7;1.9;16.4;
Luke Kornet;29;BOS;NBA;C;67;13;18.3;2.4;3.5;0.68;0.0;0.0;0.00;2.4;3.5;0.69;0.68;0.9;1.3;0.69;2.5;2.8;5.3;1.6;0.5;1.0;0.4;1.6;5.7;
Torrey Craig;34;BOS;NBA;SF;13;1;9.7;1.1;2.5;0.42;0.6;1.8;0.35;0.5;0.8;0.60;0.55;0.4;0.6;0.62;1.1;0.8;1.9;0.3;0.2;0.5;0.2;1.1;3.2;
Payton Pritchard;27;BOS;NBA;PG;74;1;28.3;4.9;10.6;0.46;3.2;7.9;0.41;1.7;2.7;0.62;0.62;0.9;1.1;0.84;1.3;2.5;3.8;3.3;0.9;0.2;1.0;1.5;14.0;
Xavier Tillman;26;BOS;NBA;C;30;2;7.2;0.4;1.7;0.23;0.2;1.1;0.16;0.2;0.6;0.37;0.28;0.1;0.1;0.75;0.3;1.0;1.4;0.2;0.3;0.2;0.4;0.6;1.1;
Neemias Queta;25;BOS;NBA;C;57;6;13.9;2.1;3.2;0.65;0.0;0.1;0.00;2.1;3.2;0.66;0.65;0.7;1.0;0.75;1.5;2.4;3.9;0.6;0.3;0.6;0.6;1.7;4.9;
Sam Hauser;27;BOS;NBA;PF;65;17;21.4;2.9;6.4;0.45;2.3;5.5;0.41;0.6;0.9;0.66;0.62;0.1;0.1;1.00;0.6;2.4;3.1;0.9;0.6;0.2;0.3;1.3;8.2;
JD Davison;22;BOS;NBA;PG;13;0;4.3;0.5;1.2;0.44;0.2;0.8;0.30;0.3;0.5;0.67;0.53;0.4;0.5;0.71;0.1;0.5;0.6;0.5;0.2;0.1;0.7;0.1;1.7;
Jordan Walsh;20;BOS;NBA;PF;47;1;7.7;0.6;1.5;0.37;0.3;1.0;0.28;0.3;0.5;0.54;0.46;0.1;0.3;0.58;0.4;0.8;1.2;0.3;0.2;0.2;0.3;0.6;1.5;
Drew Peterson;25;BOS;NBA;PF;21;1;7.5;0.7;1.5;0.45;0.5;1.2;0.40;0.2;0.3;0.67;0.61;0.3;0.3;0.86;0.2;1.2;1.4;0.6;0.2;0.1;0.3;0.7;2.1;
Baylor Scheierman;24;BOS;NBA;SG;26;0;10.8;1.0;2.7;0.37;0.8;2.2;0.36;0.2;0.5;0.43;0.51;0.2;0.3;0.75;0.5;1.2;1.7;0.9;0.4;0.1;0.2;0.6;3.0;
Bradley Beal;31;PHO;NBA;SG;48;33;32.2;6.6;13.1;0.51;1.9;4.9;0.40;4.7;8.3;0.57;0.58;2.2;2.7;0.81;0.7;2.7;3.4;3.6;1.0;0.5;1.9;2.6;17.3;
Mason Plumlee;34;PHO;NBA;C;70;20;17.5;1.7;2.8;0.61;0.0;0.0;0.00;1.7;2.7;0.62;0.61;1.1;1.7;0.66;1.6;4.6;6.2;1.8;0.4;0.6;0.8;2.1;4.5;
Kevin Durant;36;PHO;NBA;PF;62;62;36.5;9.5;18.1;0.53;2.6;6.0;0.43;7.0;12.1;0.57;0.60;4.9;5.8;0.84;0.4;5.7;6.0;4.2;0.8;1.2;3.1;1.7;26.6;
Tyus Jones;28;PHO;NBA;PG;75;57;27.5;3.8;8.5;0.45;2.1;5.0;0.42;1.7;3.5;0.50;0.57;0.7;0.7;0.89;0.5;1.9;2.4;5.5;0.8;0.1;1.2;0.8;10.4;
Devin Booker;28;PHO;NBA;SG;70;70;37.4;8.6;18.8;0.46;2.5;7.5;0.34;6.0;11.2;0.54;0.52;5.9;6.6;0.90;1.0;3.1;4.1;7.1;0.9;0.2;2.9;2.7;25.5;
Monté Morris;29;PHO;NBA;PG;43;0;12.6;1.8;4.3;0.42;0.7;1.9;0.35;1.1;2.4;0.47;0.49;0.8;1.0;0.86;0.3;1.2;1.4;1.6;0.5;0.1;0.4;0.5;5.1;
Grayson Allen;29;PHO;NBA;SG;58;4;24.3;3.3;7.5;0.45;2.4;5.5;0.43;0.9;1.9;0.49;0.60;1.4;1.8;0.80;0.5;2.5;3.0;2.1;0.9;0.3;1.1;1.5;10.4;
Bol Bol;25;PHO;NBA;PF;34;10;13.0;2.8;5.4;0.53;0.9;2.7;0.34;1.9;2.6;0.71;0.61;0.6;0.8;0.77;0.6;2.5;3.0;0.6;0.3;0.7;0.6;0.6;7.2;
Cody Martin;29;PHO;NBA;SF;9;0;16.8;1.8;4.8;0.37;0.3;2.6;0.13;1.4;2.2;0.65;0.41;0.6;0.9;0.62;1.2;2.8;4.0;1.3;1.3;0.3;0.7;2.1;4.4;
Nick Richards;27;PHO;NBA;C;33;32;22.9;4.1;6.8;0.60;0.0;0.0;0.00;4.1;6.7;0.61;0.60;1.8;2.2;0.82;2.8;5.9;8.8;0.6;0.2;0.8;1.4;2.6;10.0;
Vasilije Micić;31;PHO;NBA;PG;4;0;4.8;0.0;0.0;;0.0;0.0;;0.0;0.0;;;0.0;0.0;;0.0;0.5;0.5;0.0;0.0;0.0;0.8;0.3;0.0;
Collin Gillespie;25;PHO;NBA;PG;27;8;12.3;1.8;4.0;0.45;1.0;2.1;0.45;0.9;1.9;0.46;0.57;0.5;0.6;0.88;0.6;1.4;2.0;2.3;0.4;0.1;0.5;0.9;5.1;
Ryan Dunn;22;PHO;NBA;SF;68;38;18.2;2.6;6.0;0.43;1.0;3.3;0.31;1.6;2.7;0.57;0.52;0.2;0.5;0.43;1.0;2.3;3.3;0.8;0.5;0.6;0.5;2.2;6.5;
Oso Ighodaro;22;PHO;NBA;PF;55;3;16.1;1.7;2.8;0.60;0.0;0.0;0.00;1.7;2.7;0.61;0.60;0.5;0.9;0.60;0.9;2.5;3.5;1.1;0.4;0.4;0.6;1.7;3.9;
Garrett Temple;38;TOR;NBA;SG;25;0;7.3;0.4;1.7;0.21;0.2;0.8;0.25;0.2;0.9;0.18;0.27;0.4;0.4;0.90;0.2;0.8;1.0;1.0;0.6;0.1;0.4;0.9;1.3;
Brandon Ingram;27;NOP;NBA;SF;18;18;33.1;8.6;18.5;0.47;2.4;6.4;0.37;6.2;12.1;0.51;0.53;2.6;3.1;0.85;0.9;4.6;5.6;5.2;0.9;0.6;3.8;2.5;22.2;
Jakob Poeltl;29;TOR;NBA;C;56;55;29.6;6.4;10.1;0.63;0.0;0.1;0.33;6.4;10.1;0.63;0.63;1.7;2.6;0.67;3.3;6.3;9.6;2.8;1.2;1.2;1.9;3.1;14.5;
Chris Boucher;32;TOR;NBA;PF;50;0;17.2;3.6;7.4;0.49;1.4;3.9;0.36;2.2;3.5;0.63;0.59;1.4;1.7;0.78;1.4;3.1;4.5;0.7;0.5;0.5;0.6;1.4;10.0;
RJ Barrett;24;TOR;NBA;SF;56;56;32.6;8.1;17.1;0.47;1.9;5.3;0.35;6.2;11.8;0.53;0.53;3.4;5.4;0.64;1.0;5.4;6.4;5.5;0.8;0.3;2.9;2.4;21.4;
Immanuel Quickley;25;TOR;NBA;PG;31;31;28.2;5.7;13.4;0.42;2.6;6.8;0.38;3.1;6.6;0.47;0.52;3.5;4.1;0.86;0.5;3.0;3.5;5.9;0.7;0.1;1.8;1.9;17.5;
Scottie Barnes;23;TOR;NBA;PF;62;62;33.0;7.1;16.1;0.44;1.1;4.4;0.26;6.0;11.8;0.51;0.48;3.6;4.7;0.77;1.6;6.0;7.6;5.8;1.5;1.0;2.9;1.8;18.9;
Ochai Agbaji;24;TOR;NBA;SG;61;42;26.8;4.0;8.1;0.50;1.5;3.8;0.39;2.5;4.3;0.59;0.59;0.5;0.8;0.70;0.9;2.9;3.8;1.6;0.8;0.5;0.8;1.9;10.1;
Cole Swider;25;TOR;NBA;SF;5;0;18.2;2.2;7.0;0.31;1.4;5.4;0.26;0.8;1.6;0.50;0.41;0.0;0.2;0.00;0.4;1.4;1.8;0.0;0.6;0.2;0.0;1.8;5.8;
Jared Rhoden;25;TOR;NBA;SG;7;2;21.6;3.6;7.9;0.46;1.3;3.9;0.33;2.3;4.0;0.57;0.54;2.3;2.7;0.84;1.3;2.4;3.7;1.0;0.9;0.3;0.9;1.7;10.7;
Orlando Robinson;24;TOR;NBA;C;32;7;20.1;3.1;6.9;0.45;0.5;1.3;0.39;2.6;5.6;0.46;0.48;1.4;1.7;0.82;2.3;3.4;5.8;1.9;0.4;0.5;1.2;2.6;8.1;
Gradey Dick;21;TOR;NBA;SG;54;54;29.4;4.9;12.0;0.41;2.1;6.0;0.35;2.8;5.9;0.47;0.50;2.5;2.9;0.86;0.8;2.8;3.6;1.8;0.9;0.2;1.5;2.2;14.4;
Ja'Kobe Walter;20;TOR;NBA;SG;50;16;21.1;3.0;7.5;0.40;1.2;3.5;0.34;1.8;4.0;0.45;0.48;1.2;1.6;0.79;1.1;1.9;3.0;1.6;0.8;0.2;0.9;1.8;8.4;
Jonathan Mogbo;23;TOR;NBA;PF;58;13;19.2;2.2;5.1;0.44;0.3;1.0;0.28;2.0;4.1;0.48;0.47;1.0;1.3;0.73;1.7;2.8;4.5;1.9;0.8;0.5;1.0;2.1;5.7;
Jamal Shead;22;TOR;NBA;PG;71;8;18.9;2.7;6.4;0.41;0.9;2.9;0.33;1.7;3.6;0.48;0.49;0.6;0.8;0.76;0.4;1.1;1.5;4.0;0.7;0.1;1.5;2.0;6.9;
Jamison Battle;23;TOR;NBA;SF;54;7;16.5;2.3;5.4;0.43;1.6;4.0;0.41;0.7;1.4;0.49;0.58;0.3;0.3;0.89;0.6;1.9;2.5;0.9;0.2;0.2;0.4;1.4;6.5;
Dennis Schröder;31;DET;NBA;PG;23;5;24.0;3.4;9.0;0.38;1.1;3.9;0.29;2.3;5.1;0.44;0.44;3.0;3.5;0.85;0.4;2.2;2.6;5.4;0.6;0.2;1.1;2.2;10.9;
Tobias Harris;27;BOS;NBA;SG;3;0;6.0;1.0;2.7;0.38;0.0;0.3;0.00;1.0;2.3;0.43;0.38;2.7;3.0;0.89;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.7;4.7;
Tim Hardaway;36;IND;NBA;PG;10;0;12.7;1.8;4.9;0.37;1.1;3.1;0.35;0.7;1.8;0.39;0.48;0.2;0.4;0.50;0.1;1.4;1.5;2.4;0.9;0.0;1.1;0.8;4.9;
Malik Beasley;28;DET;NBA;SG;76;17;27.9;5.6;12.9;0.43;3.9;9.2;0.42;1.7;3.7;0.47;0.58;1.2;1.7;0.68;0.6;2.1;2.7;1.7;0.9;0.1;1.1;1.6;16.3;
Isaiah Stewart;23;DET;NBA;C;69;3;19.6;2.4;4.3;0.56;0.2;0.7;0.31;2.2;3.7;0.61;0.59;0.9;1.2;0.76;1.8;3.7;5.5;1.7;0.4;1.4;0.9;2.4;6.0;
Paul Reed;25;DET;NBA;C;41;0;9.3;1.6;3.0;0.53;0.2;0.6;0.32;1.4;2.4;0.58;0.56;0.8;1.0;0.76;0.9;1.8;2.7;0.9;0.9;0.5;0.6;1.6;4.2;
Cade Cunningham;23;DET;NBA;PG;66;66;35.2;9.6;20.7;0.46;2.1;6.0;0.35;7.4;14.7;0.51;0.51;4.5;5.2;0.86;0.8;5.3;6.1;9.2;1.0;0.7;4.5;2.8;25.7;
